iter	Passed	Remaining
977	7901	5744
978	7909	5736
979	7918	5728
980	7926	5720
981	7933	5712
982	7944	5705
983	7951	5696
984	7959	5688
985	7966	5680
986	7976	5673
987	7983	5664
988	7991	5656
989	7999	5647
990	8006	5639
991	8014	5631
992	8022	5623
993	8031	5615
994	8038	5606
995	8047	5599
996	8055	5591
997	8064	5583
998	8071	5574
999	8079	5566
1000	8086	5557
1001	8096	5550
1002	8103	5542
1003	8111	5534
1004	8118	5525
1005	8126	5517
1006	8133	5508
1007	8142	5501
1008	8149	5492
1009	8157	5483
1010	8164	5475
1011	8174	5468
1012	8181	5459
1013	8188	5450
1014	8196	5442
1015	8203	5433
1016	8211	5425
1017	8217	5416
1018	8227	5409
1019	8234	5401
1020	8243	5393
1021	8249	5384
1022	8259	5377
1023	8266	5368
1024	8275	5360
1025	8282	5352
1026	8291	5344
1027	8298	5336
1028	8306	5327
1029	8313	5319
1030	8320	5310
1031	8328	5302
1032	8335	5293
1033	8344	5286
1034	8351	5277
1035	8359	5269
1036	8366	5260
1037	8376	5253
1038	8383	5244
1039	8391	5236
1040	8398	5228
1041	8407	5220
1042	8413	5211
1043	8423	5204
1044	8430	5195
1045	8437	5186
1046	8445	5178
1047	8452	5169
1048	8461	5162
1049	8468	5153
1050	8476	5145
1051	8483	5137
1052	8493	5130
1053	8500	5121
1054	8509	5113
1055	8516	5105
1056	8525	5097
1057	8531	5088
1058	8541	5081
1059	8548	5072
1060	8557	5065
1061	8565	5056
1062	8575	5050
1063	8584	5042
1064	8593	5035
1065	8600	5026
1066	8609	5019
1067	8616	5010
1068	8626	5003
1069	8633	4994
1070	8642	4986
1071	8648	4978
1072	8658	4970
1073	8665	4962
1074	8674	4954
1075	8681	4945
1076	8690	4938
1077	8697	4929
1078	8705	4921
1079	8712	4913
1080	8721	4905
1081	8727	4896
1082	8735	4887
1083	8744	4880
1084	8750	4871
1085	8759	4863
1086	8765	4854
1087	8774	4846
1088	8781	4838
1089	8789	4830
1090	8796	4821
1091	8804	4813
1092	8811	4804
1093	8820	4797
1094	8827	4788
1095	8834	4780
1096	8843	4772
1097	8850	4763
1098	8859	4756
1099	8866	4747
1100	8874	4739
1101	8881	4730
1102	8890	4723
1103	8897	4714
1104	8906	4707
1105	8913	4698
1106	8921	4690
1107	8928	4681
1108	8938	4674
1109	8945	4666
1110	8954	4658
1111	8960	4649
1112	8970	4642
1113	8977	4634
1114	8987	4626
1115	8994	4617
1116	9003	4610
1117	9010	4602
1118	9018	4593
1119	9025	4585
1120	9031	4576
1121	9040	4568
1122	9046	4559
1123	9055	4551
1124	9062	4543
1125	9071	4535
1126	9077	4526
1127	9086	4519
1128	9093	4510
1129	9101	4502
1130	9108	4493
1131	9114	4484
1132	9123	4476
1133	9129	4468
1134	9139	4460
1135	9145	4452
1136	9154	4444
1137	9160	4435
1138	9169	4427
1139	9176	4419
1140	9185	4411
1141	9193	4403
1142	9203	4396
1143	9211	4388
1144	9220	4380
1145	9226	4371
1146	9235	4364
1147	9242	4355
1148	9251	4348
1149	9258	4339
1150	9265	4330
1151	9273	4322
1152	9280	4314
1153	9289	4306
1154	9296	4297
1155	9304	4290
1156	9311	4281
1157	9319	4273
1158	9326	4264
1159	9335	4257
1160	9342	4248
1161	9350	4240
1162	9357	4232
1163	9367	4224
1164	9374	4216
1165	9380	4207
1166	9389	4199
1167	9396	4191
1168	9405	4183
1169	9413	4175
1170	9422	4167
1171	9429	4159
1172	9437	4151
1173	9444	4142
1174	9453	4135
1175	9461	4127
1176	9470	4119
1177	9477	4111
1178	9486	4103
1179	9495	4096
1180	9505	4088
1181	9515	4081
1182	9522	4073
1183	9532	4065
1184	9540	4057
1185	9549	4050
1186	9556	4041
1187	9566	4034
1188	9573	4025
1189	9582	4018
1190	9589	4009
1191	9598	4002
1192	9605	3993
1193	9614	3985
1194	9622	3977
1195	9630	3969
1196	9637	3961
1197	9646	3953
1198	9653	3944
